title,description,content,url,image,publishedat,sourcename,sourceurl,country
"Mosca, 'il ministro della Difesa russo a Pyongyang incontra Kim'",Il ministro della Difesa russo Andrei Belousov ha incontrato oggi a Pyongyang il leader supremo nordcoreano Kim Jong Un per discutere dello stato e delle prospettive della cooperazione militare tra Russia e Corea del Nord. Lo scrive l'agenzia Interfax. (ANSA),Il ministro della Difesa russo Andrei Belousov ha incontrato oggi a Pyongyang il leader supremo nordcoreano Kim Jong Un per discutere dello stato e delle prospettive della cooperazione militare tra Russia e Corea del Nord. Lo scrive l'agenzia Interfa... [1144 chars],https://www.ansa.it/sito/notizie/topnews/2026/04/26/mosca-il-ministro-della-difesa-russo-a-pyongyang-incontra-kim_aefa3ef3-5acc-46bd-9829-1981b598e4f4.html,https://www.ansa.it/webimages/img_1129x635/2026/4/26/3c09a1328e94fbe929b0550a47670913.jpg,2026-04-26T19:33:00Z,ANSA,https://www.ansa.it,Nepal
"Iran’s top diplomat leaves Pakistan for Russia, Trump says Tehran can talk by phone",Iranian Foreign Minister Abbas Araghchi on Sunday squeezed in a trip to Oman before returning to Pakistan and then heading to Moscow for talks in a frantic diplomatic shuffle as mediators pressed to…,"Iran's foreign minister departed Islamabad for Moscow on Sunday, his ministry said, ping-ponging from capital to capital as mediators hoped to keep peace talks between Tehran and the United States alive.
Abbas Araghchi sandwiched a visit to Oman's Mu... [4445 chars]",https://www.france24.com/en/middle-east/20260426-iran-top-diplomat-pakistan-russia-oman-trump-says-tehran-talk-phone,https://s.france24.com/media/display/3c713578-4175-11f1-ac0a-005056a90284/w:1280/p:16x9/AP26116354137889-1.jpg,2026-04-26T19:32:54Z,France 24,https://www.france24.com,Nepal
Američanům u Drážďan vzplanul obrněný transportér,Na dálnici A4 nedaleko Drážďan v sobotu večer vzplanul obrněný transportér Stryker americké armády. Byl součástí vojenské kolony mířící na cvičení Saber Strike 26 v Polsku.,"Osmikolovému Strykeru vzplanul motor během jízdy po dálnici, když jeho konvoj, mířící na cvičení sil NATO, míjel sjezd na obec Wilsdruff, zmínil web Sächische Zeitung.
Transportér poté pod dohledem německé vojenské policie uhasily jednotky dobrovolný... [406 chars]",https://www.novinky.cz/clanek/zahranicni-evropa-americanum-u-drazdan-vzplanul-obrneny-transporter-40575387?noredirect=1,"https://d15-a.sdn.cz/d_15/c_img_qA_A/kcHp2YdDtBRc2Ut8gGc8t1O/8e02/drazdany-wilsdruff-hasici-stryker.jpeg?fl=cro,0,371,1080,607%7Cres,1200,,1%7Cwebp,75",2026-04-26T19:32:31Z,Novinky,https://www.novinky.cz,Nepal
Barış Alper'den Osimhen'e teşekkür: 'Bizim gibi oyuncular olduğu sürece şampiyonuz!',"Spor Haberleri - Galatasaray'da Barış Alper Yılmaz ve Yunus Akgün, 3-0 kazandıkları Fenerbahçe derbisinin ardından açıklamalarda bulundu.","Trendyol Süper Lig’in 31. haftasında Galatasaray, konuk ettiği Fenerbahçe’yi 3-0 mağlup etti. Mücadelenin ardından sarı-kırmızılılarda Barış Alper Yılmaz ve Yunus Akgün açıklamalar yaptı.
YUNUS AKGÜN: HİÇBİR ŞEY BİTMEDİ
Çok mutluyuz. Çok gururluyuz. ... [570 chars]",https://www.hurriyet.com.tr/sporarena/baris-alperden-osimhene-tesekkur-bizim-gibi-oyuncular-oldugu-surece-sampiyonuz-43159971,https://image.hurimg.com/i/hurriyet/90/0x0/69ee6843f93a20516183468e.jpg,2026-04-26T19:32:22Z,Hürriyet,https://www.hurriyet.com.tr,Nepal
Skogbrann i Fitjar: - Har sendt ut nødvarsel,"Brannmannskaper jobber med å slukke en kraftig brann på Fitjar. Politiet har sendt ut nødvarsel, og folk evakueres. - Det er ganske dramatisk, sier ordføreren.","Like sikkert som at hestehoven blomstrer om våren, er det at årets russekull begynner feiringen av 13 års skolegang. Dette er en tradisjon over det ganske land, fra nord til sør. For de aller fleste av oss er dette en «once in a lifetime» -opplevelse... [4876 chars]",https://www.dagbladet.no/nyheter/skogbrann-i-fitjar-har-sendt-ut-nodvarsel/84544619,https://www.dagbladet.no/images/84544625.jpg?imageId=84544625&x=0&y=0&cropw=100&croph=100&panox=0&panoy=0&panow=100&panoh=100&width=1200&height=683,2026-04-26T19:32:14Z,Dagbladet,https://www.dagbladet.no,Nepal
Hrôza pod Spišským hradom. Príbuzní počuli klopkanie a hlasy z hrobu,"BIJACOVCE - Nezvyčajný zásah riešili záchranné zložky v Bijacovciach na východe Slovenska. Príbuzní tvrdili, že z hrobu 60-ročného muža počujú klopanie a hlasy, na miesto preto privolali políciu aj hasičov, ktorí hrob napokon otvorili.","BIJACOVCE / Nezvyčajný zásah riešili záchranné zložky v Bijacovciach na východe Slovenska. Príbuzní tvrdili, že z hrobu 60-ročného muža počujú klopanie a hlasy, na miesto preto privolali políciu aj hasičov, ktorí hrob napokon otvorili.
Počuli hlasy a... [1201 chars]",https://www.noviny.sk/krimi/1200000-hroza-pod-spisskym-hradom-pribuzni-poculi-klopkanie-a-hlasy-z-hrobu,https://img.joj.sk/r1200x/c7305554-27e9-429c-9655-9e3461c2421d,2026-04-26T19:32:03Z,Noviny.sk,https://www.noviny.sk,Nepal
"DC gunman Cole Thomas Allen said in his manifesto that he would spare one Trump administration official, and it was...",US News: A gunman who attempted to attack the White House Correspondents’ Association event in Washington DC reportedly compiled a 1000-word manifesto in which.,"A gunman who attempted to attack the White House Correspondents’ Association event in Washington DC reportedly compiled a 1000-word manifesto in which he listed his intended targets, while singling out one Trump administration official he did not pla... [2030 chars]",https://timesofindia.indiatimes.com/world/us/dc-gunman-cole-thomas-allen-said-in-his-manifesto-that-he-would-spare-one-trump-administration-official-and-it-was-/articleshow/130538143.cms,"https://static.toiimg.com/thumb/msid-130539028,width-1280,height-720,imgsize-136742,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",2026-04-26T19:32:00Z,The Times of India,https://timesofindia.indiatimes.com,Nepal
Zema promete privatizar Petrobras e Banco do Brasil se for eleito,"Pré-candidato ao Planalto defende privatizações para reduzir dívida e ""cortar a corrupção pela raiz"". Leia no Poder360.","O ex-governador de Minas Gerais Romeu Zema (Novo) anunciou que pretende privatizar a Petrobras e o Banco do Brasil caso seja eleito presidente nas eleições de 2026. Em vídeo publicado em seu perfil no Instagram neste domingo (26.abr.2026), ele defend... [805 chars]",https://www.poder360.com.br/poder-eleicoes/zema-promete-privatizar-petrobras-e-banco-do-brasil-se-for-eleito/,https://static.poder360.com.br/2026/02/Zema-critica-STF-22-fev-2026-848x477.png,2026-04-26T19:31:16Z,Poder360,https://www.poder360.com.br,Nepal
"חי, רבע שלישי: פורטלנד - סן אנטוניו 43:58","דני אבדיה וחבריו פתחו את המשחק בצורה חלומית ועלו ל-19 הפרש ברבע השני, כשהישראלי ביכולת מצוינת. המארחים רוצים לקבוע 2:2 בסדרה ובכך להבטיח עוד משחק אחד באולמם הביתי","אחרי ההפסד המאכזב במשחק מספר 3, פורטלנד מארחת בשעה זו את סן אנטוניו למשחק הרביעי בסדרה ביניהן במסגרת הסיבוב הראשון של פלייאוף ה-NBA במערב.
במצב של 1:2 לספרס, דני אבדיה וחבריו מקווים להשוות ל-2:2 ובכך להבטיח משחק שישי בסדרה, שייערך באולמם הביתי. מנגד,... [1596 chars]",https://www.ynet.co.il/sport/worldbasketball/article/rypfyfj611l,https://ynet-pic1.yit.co.il/picserver6/crop_images/2026/04/24/rkHlsBOaWg/rkHlsBOaWg_0_66_1024_577_0_large.jpg,2026-04-26T19:31:10Z,ynet.co.il,https://www.ynet.co.il,Nepal
קו העימות: הלימודים יושבתו - מגבלת התקהלות לקראת ההילולה במירון,"החל מיום שלישי לא יפעלו מוסדות החינוך וההסעות תחת איום הירי • מעבר למדיניות ""כתומה"" בניגוד להנחיות המדינה","פורום ראשי רשויות קו העימות הודיע הערב (ראשון) על החלטה דרמטית: השבתה מיידית של מוסדות החינוך וההסעות ביישובים הנתונים לאיום ירי, ומעבר עצמאי למדיניות התגוננות ""כתומה"" החל מיום שלישי. כעת (בין ראשון לשני) רה""מ נתניהו הודיע כי בשל שבריריות הפסקת האש, ... [1365 chars]",https://www.israelhayom.co.il/news/local/article/20408242,https://www.israelhayom.co.il/wp-content/uploads/2026/03/11/11/1111111111-1280x853.jpg,2026-04-26T19:31:09Z,היום,https://www.israelhayom.co.il,Nepal
